Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Indikator,Nilai Akhir
Yogyakarta,2018,-,-,SMAN 1 Wonosari,IPA,Terendah,298.5
Yogyakarta,2018,-,-,SMAN 1 Wonosari,IPA,Tertinggi,374.5
Yogyakarta,2018,-,-,SMAN 1 Wonosari,IPA,Rata - Rata,349.5
Yogyakarta,2018,-,-,SMAN 1 Wonosari,IPS,Terendah,205.0
Yogyakarta,2018,-,-,SMAN 1 Wonosari,IPS,Tertinggi,371.0
Yogyakarta,2018,-,-,SMAN 1 Wonosari,IPS,Rata - Rata,310.23
Yogyakarta,2018,-,-,SMAN 1 Bantul,IPA,Terendah,244.5
Yogyakarta,2018,-,-,SMAN 1 Bantul,IPA,Tertinggi,386.5
Yogyakarta,2018,-,-,SMAN 1 Bantul,IPA,Rata - Rata,357.02
Yogyakarta,2018,-,-,SMAN 1 Bantul,IPS,Terendah,317.5
Yogyakarta,2018,-,-,SMAN 1 Bantul,IPS,Tertinggi,372.5
Yogyakarta,2018,-,-,SMAN 1 Bantul,IPS,Rata - Rata,337.25
Yogyakarta,2018,-,-,SMAN 2 Bantul,IPA,Terendah,313.5
Yogyakarta,2018,-,-,SMAN 2 Bantul,IPA,Tertinggi,378.5
Yogyakarta,2018,-,-,SMAN 2 Bantul,IPA,Rata - Rata,343.48
Yogyakarta,2018,-,-,SMAN 2 Bantul,IPS,Terendah,249.0
Yogyakarta,2018,-,-,SMAN 2 Bantul,IPS,Tertinggi,369.5
Yogyakarta,2018,-,-,SMAN 2 Bantul,IPS,Rata - Rata,324.64
Yogyakarta,2018,-,-,SMAN 1 Patuk,IPA,Terendah,244.0
Yogyakarta,2018,-,-,SMAN 1 Patuk,IPA,Tertinggi,347.5
Yogyakarta,2018,-,-,SMAN 1 Patuk,IPA,Rata - Rata,285.72
Yogyakarta,2018,-,-,SMAN 1 Patuk,IPS,Terendah,138.5
Yogyakarta,2018,-,-,SMAN 1 Patuk,IPS,Tertinggi,333.5
Yogyakarta,2018,-,-,SMAN 1 Patuk,IPS,Rata - Rata,218.98
Yogyakarta,2018,-,-,SMAN 2 Wates,IPA,Terendah,311.0
Yogyakarta,2018,-,-,SMAN 2 Wates,IPA,Tertinggi,368.5
Yogyakarta,2018,-,-,SMAN 2 Wates,IPA,Rata - Rata,337.36
Yogyakarta,2018,-,-,SMAN 2 Wates,IPS,Terendah,278.0
Yogyakarta,2018,-,-,SMAN 2 Wates,IPS,Tertinggi,353.5
Yogyakarta,2018,-,-,SMAN 2 Wates,IPS,Rata - Rata,295.63
Yogyakarta,2018,-,-,SMAN 1 Temon,IPA,Terendah,250.0
Yogyakarta,2018,-,-,SMAN 1 Temon,IPA,Tertinggi,355.0
Yogyakarta,2018,-,-,SMAN 1 Temon,IPA,Rata - Rata,300.53
Yogyakarta,2018,-,-,SMAN 1 Temon,IPS,Terendah,190.5
Yogyakarta,2018,-,-,SMAN 1 Temon,IPS,Tertinggi,320.5
Yogyakarta,2018,-,-,SMAN 1 Temon,IPS,Rata - Rata,242.51
Yogyakarta,2018,-,-,SMAN 1 Depok,IPA,Terendah,301.5
Yogyakarta,2018,-,-,SMAN 1 Depok,IPA,Tertinggi,371.5
Yogyakarta,2018,-,-,SMAN 1 Depok,IPA,Rata - Rata,345.08
Yogyakarta,2018,-,-,SMAN 1 Depok,IPS,Terendah,310.0
Yogyakarta,2018,-,-,SMAN 1 Depok,IPS,Tertinggi,349.0
Yogyakarta,2018,-,-,SMAN 1 Depok,IPS,Rata - Rata,321.9
Yogyakarta,2018,-,-,SMAN 1 Ngaglik,IPA,Terendah,222.5
Yogyakarta,2018,-,-,SMAN 1 Ngaglik,IPA,Tertinggi,329.0
Yogyakarta,2018,-,-,SMAN 1 Ngaglik,IPA,Rata - Rata,285.7
Yogyakarta,2018,-,-,SMAN 1 Ngaglik,IPS,Terendah,248.5
Yogyakarta,2018,-,-,SMAN 1 Ngaglik,IPS,Tertinggi,300.5
Yogyakarta,2018,-,-,SMAN 1 Ngaglik,IPS,Rata - Rata,268.67
Yogyakarta,2018,-,-,SMAN 1 Yogyakarta,IPA,Terendah,284.0
Yogyakarta,2018,-,-,SMAN 1 Yogyakarta,IPA,Tertinggi,395.5
Yogyakarta,2018,-,-,SMAN 1 Yogyakarta,IPA,Rata - Rata,368.6
Yogyakarta,2018,-,-,SMAN 1 Yogyakarta,IPS,Terendah,347.5
Yogyakarta,2018,-,-,SMAN 1 Yogyakarta,IPS,Tertinggi,381.0
Yogyakarta,2018,-,-,SMAN 1 Yogyakarta,IPS,Rata - Rata,356.63
Yogyakarta,2018,-,-,SMAN 2 Yogyakarta,IPA,Terendah,347.5
Yogyakarta,2018,-,-,SMAN 2 Yogyakarta,IPA,Tertinggi,382.0
Yogyakarta,2018,-,-,SMAN 2 Yogyakarta,IPA,Rata - Rata,358.38
Yogyakarta,2018,-,-,SMAN 2 Yogyakarta,IPS,Terendah,323.0
Yogyakarta,2018,-,-,SMAN 2 Yogyakarta,IPS,Tertinggi,376.5
Yogyakarta,2018,-,-,SMAN 2 Yogyakarta,IPS,Rata - Rata,346.89
Yogyakarta,2018,-,-,SMAN 3 Yogyakarta,IPA,Terendah,363.5
Yogyakarta,2018,-,-,SMAN 3 Yogyakarta,IPA,Tertinggi,399.5
Yogyakarta,2018,-,-,SMAN 3 Yogyakarta,IPA,Rata - Rata,377.59
Yogyakarta,2018,-,-,SMAN 3 Yogyakarta,IPS,Terendah,283.0
Yogyakarta,2018,-,-,SMAN 3 Yogyakarta,IPS,Tertinggi,386.0
Yogyakarta,2018,-,-,SMAN 3 Yogyakarta,IPS,Rata - Rata,365.1
Yogyakarta,2018,-,-,SMAN 4 Yogyakarta,IPA,Terendah,276.0
Yogyakarta,2018,-,-,SMAN 4 Yogyakarta,IPA,Tertinggi,370.5
Yogyakarta,2018,-,-,SMAN 4 Yogyakarta,IPA,Rata - Rata,333.35
Yogyakarta,2018,-,-,SMAN 4 Yogyakarta,IPS,Terendah,313.5
Yogyakarta,2018,-,-,SMAN 4 Yogyakarta,IPS,Tertinggi,366.0
Yogyakarta,2018,-,-,SMAN 4 Yogyakarta,IPS,Rata - Rata,324.72
Yogyakarta,2018,-,-,SMAN 5 Yogyakarta,IPA,Terendah,266.5
Yogyakarta,2018,-,-,SMAN 5 Yogyakarta,IPA,Tertinggi,376.5
Yogyakarta,2018,-,-,SMAN 5 Yogyakarta,IPA,Rata - Rata,351.22
Yogyakarta,2018,-,-,SMAN 5 Yogyakarta,IPS,Terendah,267.5
Yogyakarta,2018,-,-,SMAN 5 Yogyakarta,IPS,Tertinggi,372.5
Yogyakarta,2018,-,-,SMAN 5 Yogyakarta,IPS,Rata - Rata,341.33
Yogyakarta,2018,-,-,SMAN 6 Yogyakarta,IPA,Terendah,252.0
Yogyakarta,2018,-,-,SMAN 6 Yogyakarta,IPA,Tertinggi,383.5
Yogyakarta,2018,-,-,SMAN 6 Yogyakarta,IPA,Rata - Rata,352.31
Yogyakarta,2018,-,-,SMAN 6 Yogyakarta,IPS,Terendah,305.0
Yogyakarta,2018,-,-,SMAN 6 Yogyakarta,IPS,Tertinggi,369.0
